cha,dataset,embeddings_sims,eps,gpu,max_data,min_samples,model,n_clusters,score,sil,tags_sims,verbose,weights,embeddings_sims_mean,tags_sims_mean
532.4932645576264,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.005698818, 1: 0.2912796, 2: 0.100634284, 3: 0.054629225, 4: 0.18779352}",0.049999999999999996,1.0,500.0,6.0,"VGG16(
  (model): Sequential()
)",5.0,0.5693069306930693,0.3108757591033908,"{0: 0.011636556438771595, 1: 0.8276034198686187, 2: 0.3977170207365921, 3: 0.45468764841342785, 4: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.12800709903240204,0.48167383469415537
541.7505162445051,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0057255467, 1: 0.2912796, 2: 0.100634284, 3: 0.054629225, 4: 0.18779352}",0.049999999999999996,1.0,500.0,7.0,"VGG16(
  (model): Sequential()
)",5.0,0.5693069306930693,0.31397615662874195,"{0: 0.011805207030911239, 1: 0.8276034198686187, 2: 0.3977170207365921, 3: 0.45468764841342785, 4: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.12801244854927063,0.4817075648125833
541.7505162445051,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0057255467, 1: 0.2912796, 2: 0.100634284, 3: 0.054629225, 4: 0.18779352}",0.049999999999999996,1.0,500.0,8.0,"VGG16(
  (model): Sequential()
)",5.0,0.5693069306930693,0.31397615662874195,"{0: 0.011805207030911239, 1: 0.8276034198686187, 2: 0.3977170207365921, 3: 0.45468764841342785, 4: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.12801244854927063,0.4817075648125833
541.7505162445051,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0057255467, 1: 0.2912796, 2: 0.100634284, 3: 0.054629225, 4: 0.18779352}",0.049999999999999996,1.0,500.0,9.0,"VGG16(
  (model): Sequential()
)",5.0,0.5693069306930693,0.31397615662874195,"{0: 0.011805207030911239, 1: 0.8276034198686187, 2: 0.3977170207365921, 3: 0.45468764841342785, 4: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.12801244854927063,0.4817075648125833
266.4692217935695,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0037495785, 1: 0.75094247, 2: 0.100634284, 3: 0.18779352, 4: 0.20078202, 5: 0.34147668, 6: 0.36221975}",0.06999999999999999,1.0,500.0,2.0,"VGG16(
  (model): Sequential()
)",7.0,0.5745992601726264,0.6107963744689151,"{0: 0.008681379127120371, 1: 0.8396306290080995, 2: 0.3977170207365921, 3: 0.7167245280133667, 4: 0.764034224066209, 5: 0.28945895686757406, 6: 0.9999999999999996}",0.0,"(1.0, 0.0, 0.0)",0.2782283127307892,0.5737495339741374
291.1855425008065,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0037495785, 1: 0.75094247, 2: 0.100634284, 3: 0.18779352, 4: 0.20078202, 5: 0.34147668}",0.06999999999999999,1.0,500.0,3.0,"VGG16(
  (model): Sequential()
)",6.0,0.5745992601726264,0.6050882888452295,"{0: 0.008681379127120371, 1: 0.8396306290080995, 2: 0.3977170207365921, 3: 0.7167245280133667, 4: 0.764034224066209, 5: 0.28945895686757406}",0.0,"(1.0, 0.0, 0.0)",0.26422974467277527,0.5027077896364937
340.64601338994703,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0038061626, 1: 0.100634284, 2: 0.18779352, 3: 0.20078202, 4: 0.5628003}",0.06999999999999999,1.0,500.0,4.0,"VGG16(
  (model): Sequential()
)",5.0,0.5745992601726264,0.6560503423422065,"{0: 0.008721488670604483, 1: 0.3977170207365921, 2: 0.7167245280133667, 3: 0.764034224066209, 4: 0.32514737148648787}",0.0,"(1.0, 0.0, 0.0)",0.2111632525920868,0.4424689265946521
418.1561592252146,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0038061626, 1: 0.100634284, 2: 0.18779352, 3: 0.20078202}",0.06999999999999999,1.0,500.0,5.0,"VGG16(
  (model): Sequential()
)",4.0,0.5745992601726264,0.6903906504999293,"{0: 0.008721488670604483, 1: 0.3977170207365921, 2: 0.7167245280133667, 3: 0.764034224066209}",0.0,"(1.0, 0.0, 0.0)",0.12325400114059448,0.47179931537169306
726.7477289934764,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.004623046, 1: 0.100634284, 2: 0.054629225, 3: 0.18779352}",0.06999999999999999,1.0,500.0,6.0,"VGG16(
  (model): Sequential()
)",4.0,0.5693069306930693,0.680396756059954,"{0: 0.010446256759591545, 1: 0.3977170207365921, 2: 0.45468764841342785, 3: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.08692002296447754,0.39489386348074457
721.7762593024198,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.004503251, 1: 0.100634284, 2: 0.054629225, 3: 0.18779352}",0.06999999999999999,1.0,500.0,7.0,"VGG16(
  (model): Sequential()
)",4.0,0.5693069306930693,0.6808675470935802,"{0: 0.010586682250976526, 1: 0.3977170207365921, 2: 0.45468764841342785, 3: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.0868900716304779,0.3949289698535908
721.7762593024198,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.004503251, 1: 0.100634284, 2: 0.054629225, 3: 0.18779352}",0.06999999999999999,1.0,500.0,8.0,"VGG16(
  (model): Sequential()
)",4.0,0.5693069306930693,0.6808675470935802,"{0: 0.010586682250976526, 1: 0.3977170207365921, 2: 0.45468764841342785, 3: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.0868900716304779,0.3949289698535908
721.7762593024198,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.004503251, 1: 0.100634284, 2: 0.054629225, 3: 0.18779352}",0.06999999999999999,1.0,500.0,9.0,"VGG16(
  (model): Sequential()
)",4.0,0.5693069306930693,0.6808675470935802,"{0: 0.010586682250976526, 1: 0.3977170207365921, 2: 0.45468764841342785, 3: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.0868900716304779,0.3949289698535908
244.0188639298362,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.32780787, 1: 0.0038325498, 2: 0.75094247, 3: 0.100634284, 4: 0.18779352, 5: 0.20078202, 6: 0.34815004, 7: 0.36221975}",0.08999999999999998,1.0,500.0,2.0,"VGG16(
  (model): Sequential()
)",8.0,0.5745992601726264,0.605012864192089,"{0: 0.2384373804627588, 1: 0.008595487270348983, 2: 0.8396306290080995, 3: 0.3977170207365921, 4: 0.7167245280133667, 5: 0.764034224066209, 6: 0.3554151543774934, 7: 0.9999999999999996}",0.0,"(1.0, 0.0, 0.0)",0.2852703332901001,0.5400693029918585
261.17654665098877,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.32780787, 1: 0.0038325498, 2: 0.75094247, 3: 0.100634284, 4: 0.18779352, 5: 0.20078202, 6: 0.34815004}",0.08999999999999998,1.0,500.0,3.0,"VGG16(
  (model): Sequential()
)",7.0,0.5745992601726264,0.5989901757067705,"{0: 0.2384373804627588, 1: 0.008595487270348983, 2: 0.8396306290080995, 3: 0.3977170207365921, 4: 0.7167245280133667, 5: 0.764034224066209, 6: 0.3554151543774934}",0.0,"(1.0, 0.0, 0.0)",0.27427753806114197,0.47436491770498124
341.43394478973727,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0038325498, 1: 0.100634284, 2: 0.18779352, 3: 0.20078202, 4: 0.32780787}",0.08999999999999998,1.0,500.0,4.0,"VGG16(
  (model): Sequential()
)",5.0,0.5745992601726264,0.6796975861131305,"{0: 0.008595487270348983, 1: 0.3977170207365921, 2: 0.7167245280133667, 3: 0.764034224066209, 4: 0.2384373804627588}",0.0,"(1.0, 0.0, 0.0)",0.1641700565814972,0.4251017281098551
337.1677999094797,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0038325498, 1: 0.100634284, 2: 0.18779352, 3: 0.20078202, 4: 0.34147668}",0.08999999999999998,1.0,500.0,5.0,"VGG16(
  (model): Sequential()
)",5.0,0.5745992601726264,0.6668131918685856,"{0: 0.008595487270348983, 1: 0.3977170207365921, 2: 0.7167245280133667, 3: 0.764034224066209, 4: 0.28945895686757406}",0.0,"(1.0, 0.0, 0.0)",0.1669038087129593,0.43530604339081813
523.7799156390948,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0037495785, 1: 0.100634284, 2: 0.18779352}",0.08999999999999998,1.0,500.0,6.0,"VGG16(
  (model): Sequential()
)",3.0,0.5693069306930693,0.695201401717125,"{0: 0.008681379127120371, 1: 0.3977170207365921, 2: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.09739246219396591,0.3743743092923597
523.7799156390948,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0037495785, 1: 0.100634284, 2: 0.18779352}",0.08999999999999998,1.0,500.0,7.0,"VGG16(
  (model): Sequential()
)",3.0,0.5693069306930693,0.695201401717125,"{0: 0.008681379127120371, 1: 0.3977170207365921, 2: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.09739246219396591,0.3743743092923597
523.7799156390948,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0037495785, 1: 0.100634284, 2: 0.18779352}",0.08999999999999998,1.0,500.0,8.0,"VGG16(
  (model): Sequential()
)",3.0,0.5693069306930693,0.695201401717125,"{0: 0.008681379127120371, 1: 0.3977170207365921, 2: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.09739246219396591,0.3743743092923597
517.6127576856892,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0036850185, 1: 0.100634284, 2: 0.18779352}",0.08999999999999998,1.0,500.0,9.0,"VGG16(
  (model): Sequential()
)",3.0,0.5693069306930693,0.6927677195180986,"{0: 0.00873485183490167, 1: 0.3977170207365921, 2: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.097370944917202,0.3743921335282869
